Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR
Romania,Maramureș,Baia Mare,"108,759",RO,266,714,755,50,
Romania,Brăila,Brăila,"154,686",RO,390,871,992,67,
Romania,Bucharest,Bucharest,"1,716,961",RO,525,1116,1391,81,
Romania,Buzău,Buzău,"103,481",RO,427,857,917,66,
Romania,Cluj,Cluj-Napoca,"286,598",RO,660,1193,1337,74,
Romania,Dolj,Craiova,"234,140",RO,450,909,1176,70,
Romania,Bihor,Oradea,"183,105",RO,378,839,905,67,
Romania,Sibiu,Sibiu,"134,309",RO,393,805,1128,69,
Sweden,Västra Götaland,Gothenburg,"655,100",SE,902,1823,3793,94,
Sweden,Skåne,Helsingborg,"113,800",SE,729,1485,3214,88,
Sweden,Jönköping,Jönköping,"101,100",SE,747,1528,2770,85,
Sweden,Östergötland,Linköping,"119,000",SE,717,1530,3492,85,
Sweden,Skåne,Malmö,"324,000",SE,875,1757,3358,90,
Sweden,Örebro,Örebro,"126,000",SE,578,1325,3224,86,
Sweden,Stockholm,Stockholm,"1,766,100",SE,1271,2297,3571,96,
Sweden,Uppsala,Uppsala,"167,300",SE,823,1650,2709,92,
Sweden,Västmanland,Västerås,"128,500",SE,711,1494,3402,89,
Sweden,Gävleborg,Gävle,"105,000",SE,752,1483,3239,71,
Portugal,Lisbon,Amadora,"174,511",PT,931,1481,1137,82,
Portugal,North,Braga,"197,594",PT,777,1337,1236,80,
Portugal,Lisbon,Cascais,"213,928",PT,1085,1656,2431,86,
Portugal,Central,Coimbra,"142,252",PT,699,1260,1359,78,
Portugal,Madeira,Funchal,"106,429",PT,1028,1561,1069,73,
Portugal,Lisbon,Lisbon,"548,703",PT,1221,1889,1510,84,
Portugal,Lisbon,Loures,"203,724",PT,923,1509,863,67,
Portugal,North,Porto,"240,592",PT,916,1499,1401,82,
Portugal,Lisbon,Sintra,"388,767",PT,978,1577,1490,70,
Portugal,North,Vila Nova de Gaia,"307,563",PT,847,1457,1676,84,
Switzerland,Basel-Stadt,Basel,"169,900",CH,1567,2964,8160,98,
Switzerland,Bern,Bern,"131,600",CH,1636,2945,7481,96,
Switzerland,Geneva,Geneva,"198,100",CH,2137,3577,7638,97,
Switzerland,Vaud,Lausanne,"135,600",CH,1703,3069,7412,96,
Switzerland,Zürich,Winterthur,"108,300",CH,1820,3207,7786,98,
Switzerland,Zürich,Zürich,"397,000",CH,2299,3691,8151,100,
Serbia,Šumadija and Western Serbia,Kragujevac,"150,800",RS,447,918,833,64,
Serbia,Southern and Eastern Serbia,Niš,"186,200",RS,400,819,826,62,
Serbia,Vojvodina,Novi Sad,"285,500",RS,603,1141,971,68,
Serbia,Vojvodina,Subotica,"104,400",RS,419,832,722,47,
Slovakia,Bratislava,Bratislava,"478,040",SK,854,1497,1662,82,
Slovakia,Košice,Kosice,"225,044",SK,850,1436,1454,73,
Slovenia,Ljubljana,Ljubljana,"288,382",SI,962,1640,1837,82,
Ukraine,Kyiv Oblast,Bila Tserkva,"208,737",UA,196,497,476,45,
Ukraine,Cherkasy Oblast,Cherkasy,"272,651",UA,213,498,458,42,
Ukraine,Chernihiv Oblast,Chernihiv,"285,234",UA,212,516,474,56,
Ukraine,Chernivtsi Oblast,Chernivtsi,"265,471",UA,257,545,422,55,
Ukraine,Dnipropetrovsk Oblast,Dnipro,"980,948",UA,381,790,428,60,
Ukraine,Donetsk Oblast,Donetsk,"905,364",UA,260,516,433,42,
Ukraine,Donetsk Oblast,Horlivka,"241,106",UA,309,650,424,41,
Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk,"237,855",UA,234,482,383,43,
Ukraine,Dnipropetrovsk Oblast,Kamianske,"229,794",UA,316,656,471,45,
Ukraine,Kharkiv Oblast,Kharkiv,"1,433,886",UA,203,510,434,63,
Ukraine,Kherson Oblast,Kherson,"283,649",UA,144,420,371,43,
Ukraine,Khmelnytskyi Oblast,Khmelnytskyi,"274,582",UA,231,535,423,54,
Ukraine,Donetsk Oblast,Kramatorsk,"164,700",UA,306,639,474,41,
Ukraine,Poltava Oblast,Kremenchuk,"217,710",UA,182,440,433,40,
Ukraine,Kirovohrad Oblast,Kropyvnytskyi,"222,695",UA,239,616,417,40,
Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,"646,748",UA,220,503,337,41,
Ukraine,Luhansk Oblast,Luhansk,"399,559",UA,423,732,418,40,
Ukraine,Volyn Oblast,Lutsk,"217,197",UA,284,546,401,56,
Ukraine,Lviv Oblast,Lviv,"717,486",UA,399,762,441,65,
Ukraine,Donetsk Oblast,Makiivka,"340,337",UA,266,534,421,40,
Ukraine,Donetsk Oblast,Mariupol,"431,859",UA,229,539,418,41,
Ukraine,Zaporizhzhia Oblast,Melitopol,"150,768",UA,265,545,428,39,
Ukraine,Mykolaiv Oblast,Mykolaiv,"476,101",UA,197,516,463,59,
Ukraine,Poltava Oblast,Poltava,"283,402",UA,227,479,460,42,
Ukraine,Rivne Oblast,Rivne,"245,289",UA,253,439,414,56,
Ukraine,Luhansk Oblast,Sievierodonetsk,"101,135",UA,331,633,425,39,
Ukraine,Sumy Oblast,Sumy,"259,660",UA,216,496,431,41,
Ukraine,Ternopil Oblast,Ternopil,"225,238",UA,191,465,426,43,
Ukraine,Zakarpattia Oblast,Uzhhorod,"115,442",UA,249,494,471,41,
Ukraine,Vinnytsia Oblast,Vinnytsia,"370,601",UA,275,603,423,43,
Ukraine,Zhytomyr Oblast,Zhytomyr,"263,507",UA,257,586,396,54,
